pair1,pair2,1h,5m,4h,1d,15m
AUDCAD,EURGBP,45.7,5.9,-32.3,3.9,64.4
AUDCAD,EURAUD,44.1,-17.9,-80.5,-93.1,-29.5
AUDCAD,USDCAD,-31.6,20.9,40.4,-16.6,-50
AUDCAD,USDCHF,-81.6,-0,23.7,-8.8,-85.8
AUDCHF,EURUSD,-52.8,61.1,12.6,44.2,67.4
AUDCHF,CHFJPY,-44,68.2,-3.7,35,-6.9
AUDCHF,EURJPY,-36.5,78.3,2.8,59.9,35.1
AUDCHF,NZDJPY,43,89.3,67.1,77.3,78.9
AUDCHF,AUDUSD,9.8,94,66.6,88.5,92.8
AUDCHF,CADJPY,65.9,93.5,8.8,50.1,21.8
AUDCHF,AUDJPY,44.3,97.5,49.3,88.8,72.2
AUDCHF,NZDUSD,8,61.7,81,56,86.2
AUDCHF,GBPUSD,-17,75.6,29.4,30.3,76.7
AUDCHF,GBPJPY,12.3,83.9,15.5,43.6,22.1
AUDCHF,AUDNZD,4.9,46.2,-3.2,79.8,-61.9
AUDCHF,AUDCAD,-28.8,21.2,67.5,92.7,75.8
AUDCHF,AUDCHF,100,100,100,100,100
AUDCHF,GBPCHF,64.8,77.3,35.3,36.9,32.3
AUDCHF,GBPCAD,-51.1,-52.5,4.4,18,6.5
AUDCHF,USDJPY,49,64.4,-21.3,51.9,-47.8
AUDCHF,GBPNZD,-35.4,-18.8,-55.5,-10.5,-66.6
AUDCHF,EURCHF,7.6,71.2,24.3,75.5,65.2
AUDCHF,NZDCHF,91,79.1,79.8,68.7,91.7
AUDCHF,CADCHF,88.1,90.8,30.9,50,40.1
AUDCHF,NZDCAD,-25.8,-31.1,45.8,39.1,73
AUDCHF,EURCAD,-80.8,-77.2,-21.4,8.2,16.3
AUDCHF,EURNZD,-90.9,-50.2,-60.2,-38.1,-90.4
AUDCHF,GBPAUD,-41.6,-69.2,-63.6,-64.7,-60.3
AUDCHF,EURGBP,-60.4,-51.5,-20.1,-12.3,10.8
AUDCHF,EURAUD,-95.2,-93.2,-87.6,-97.3,-73.9
AUDCHF,USDCAD,-38.7,-85,-20.3,-32.7,-86.5
AUDCHF,USDCHF,59.4,28.1,-7.3,-1.4,-56.7
GBPCHF,EURUSD,-40.2,31.9,-10.7,34.6,-27.2
GBPCHF,CHFJPY,-33.6,54.8,-30.3,36.6,-27.8
GBPCHF,EURJPY,-27.9,69.1,-21.1,46.2,-26.7
GBPCHF,NZDJPY,24.6,63.5,-3.5,50.8,-2.5
GBPCHF,AUDUSD,-1.5,61.4,7.2,38.9,1.8
GBPCHF,CADJPY,45.1,76.4,-16.7,54.4,32.2
GBPCHF,AUDJPY,23.8,75.5,-7.5,44.6,6
GBPCHF,NZDUSD,-0.7,29.9,15.8,33.4,-4.1
GBPCHF,GBPUSD,24.7,88.1,47.7,87.5,74.6
GBPCHF,GBPJPY,50.6,94.1,24,87.1,64.1
GBPCHF,AUDNZD,-1.8,46.3,-12.4,26,14.2
GBPCHF,AUDCAD,-31.4,5.3,20.2,17.4,-25
GBPCHF,AUDCHF,64.8,77.3,35.3,36.9,32.3
GBPCHF,GBPCHF,100,100,100,100,100
GBPCHF,GBPCAD,14.3,-4.2,67.1,90.4,72.6
GBPCHF,USDJPY,36.5,70,-37.5,39.4,5.4
GBPCHF,GBPNZD,37.9,30.7,34.2,76.6,42.1
GBPCHF,EURCHF,3.2,71.7,11.9,35.1,-4.8
GBPCHF,NZDCHF,60.9,53.2,35.3,29.5,12.1
GBPCHF,CADCHF,63.1,75.1,15.4,57,82.8
GBPCHF,NZDCAD,-23.9,-42.9,19.2,-6.6,-20.9
GBPCHF,EURCAD,-58.3,-58.1,-10.9,-36.3,-57.7
GBPCHF,EURNZD,-61.5,-23.2,-26.2,-14.9,-19.9
GBPCHF,GBPAUD,42.2,-7.9,49.7,46.9,56.1
GBPCHF,EURGBP,-95.3,-83.7,-85.9,-94.3,-82.7
GBPCHF,EURAUD,-62,-64.1,-29.5,-33.2,-47.1
GBPCHF,USDCAD,-23.5,-59.6,6,-48.2,-35.1
GBPCHF,USDCHF,44.9,52.4,19.2,-13.9,44.3
GBPCAD,EURUSD,64.6,-38.5,-44.5,33.9,-11.6
GBPCAD,CHFJPY,51.6,-21.1,-64.6,31,-17
GBPCAD,EURJPY,52.3,-23.4,-60.4,32.7,-8
GBPCAD,NZDJPY,11,-55.6,-38,36,-3.6
GBPCAD,AUDUSD,37.5,-59.2,-30.8,27.7,-9.9
GBPCAD,CADJPY,-31.2,-61.6,-71.7,32,-0.5
GBPCAD,AUDJPY,6.3,-47.3,-53.6,28.3,-6.5
GBPCAD,NZDUSD,41,-57.6,-1.8,30,-5.7
GBPCAD,GBPUSD,80.7,-12.2,3.5,85.4,54.8
GBPCAD,GBPJPY,58.8,-12.3,-28.9,77.6,49.1
GBPCAD,AUDNZD,-10,0.2,-61.8,12.1,-2.3
GBPCAD,AUDCAD,60.2,39,52.7,13.2,-8.1
GBPCAD,AUDCHF,-51.1,-52.5,4.4,18,6.5
GBPCAD,GBPCHF,14.3,-4.2,67.1,90.4,72.6
GBPCAD,GBPCAD,100,100,100,100,100
GBPCAD,USDJPY,-48.3,-7.2,-74,17.3,6.7
GBPCAD,GBPNZD,66.1,62.5,5.6,76.9,34
GBPCAD,EURCHF,28.8,-17.4,-37.5,12.5,10.7
